Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
CAS AH 352,Venetian Renaissance Art,,"A study of art and architecture in Renaissance Venice with focus on the ""Myth of Venice,"" Byzantinne heritage, introduction of the oil medium, Scuole, and the work of the Bellini, Giorgione, Titian, Palladio, Veronese, and Tintoretto.",,X,,,,,,,,,,,,,X,,,,X
CAS AH 365,Baroque Arts in Northern Europe,,"Explores the vibrant artistic culture of the late sixteenth and seventeenth centuries in the northern and southern Netherlands, corresponding roughly to present-day Holland and Belgium. Emphasis on major artists such as Rubens, Van Dyck, Frans Hals, Rembrandt, and Vermeer. Visits to the MFA's Center for Netherlandish Art.",,X,X,,,,,,,,,,,,,,,,
CAS AH 367,Material Culture,,"Introduction to the theory and practice of the interdisciplinary study of material culture, which includes everything we make and use, from food and clothing to art and buildings.",,,,,,,,,,,,,,,,,,,
CAS AH 385,American Buildings and Landscapes,,"An introductory analytic survey of American buildings and landscapes within their historical and cultural contexts. Students examine forces that have shaped the American built environment. Topics range from Indian mounds to commercial strips, Spanish missions to skyscrapers. Also offered as CAS AM 385.",,,,,,,,,,,,,,,,,,,
CAS AH 386,Modern American Art,,"This class explores the diverse and contested field of modern art in the United States, examining the broad range of artists and art practices that laid claim to aesthetic modernism in the years between 1890 and 1945.",,X,X,,,,,,,,,,,,,,,,
CAS AH 387,Boston Architecture and Urbanism,,"This class presents a history of Boston from the seventeenth through twenty- first centuries, as seen through the region's architectural and urban history. Major buildings, architects, and urban planning schemes are examined in terms of economic, political, social, and institutional histories.",,,,X,,,,,,,,,,X,,,,X,
CAS AH 391,Twentieth-Century Art to 1940,,"A study of the key tendencies in European art between the 1880s and World War II. The work of van Gogh, Picasso, Matisse, Dali, and their contemporaries is examined in relation to major issues in European culture and politics.",,X,X,,,,,,,,,,,,,,X,,
CAS AH 392,Twentieth Century Art from 1940 to 1980,,"Explores major currents in art produced around the world during the tumultuous middle decades of the 20th century. The following topics, among others, are examined in relation to postwar culture and Cold War politics: realism vs. abstraction, global pop art and conceptual art, new materials and technologies, international artists' networks, and performative art practices.",,X,X,,,,,,,,,,,,,,,,
CAS AH 393,Contemporary Art: 1980 to Now,,"Explores the terms of debate, key figures, and primary sites for the production and reception of contemporary art on a global scale since 1980. Painting, installation art, new media, performance, art criticism, and curatorial practice are discussed.",,X,X,,,,,,,,,,,,,,,,
CAS AH 395,History of Photography,,"An introduction to the study of photographs. The history of the medium in Europe and America from its invention in 1839 to the present. After lectures on photographic theory and methodology, photographs are studied both as art objects and as historical artifacts.",,X,X,,,,,,,,,,,,,X,,,
